Epoch [10844/12500], time: 3125.2157, Loss: -9576.4824
Epoch [10846/12500], time: 3125.7365, Loss: -9581.2197
Epoch [10848/12500], time: 3126.2570, Loss: -9585.6738
Epoch [10850/12500], time: 3126.7781, Loss: -9590.1953
Epoch [10852/12500], time: 3127.2986, Loss: -9594.6807
Epoch [10854/12500], time: 3127.8258, Loss: -9599.1611
Epoch [10856/12500], time: 3128.3453, Loss: -9603.5000
Epoch [10858/12500], time: 3128.8658, Loss: -9607.9697
Epoch [10860/12500], time: 3129.3859, Loss: -9612.3105
Epoch [10862/12500], time: 3129.9083, Loss: -9616.7129
Epoch [10864/12500], time: 3130.4273, Loss: -9620.7861
Epoch [10866/12500], time: 3130.9473, Loss: -9624.9980
Epoch [10868/12500], time: 3131.4656, Loss: -9629.2461
Epoch [10870/12500], time: 3131.9857, Loss: -9633.3730
Epoch [10872/12500], time: 3132.5066, Loss: -9637.5020
Epoch [10874/12500], time: 3133.0281, Loss: -9641.6475
Epoch [10876/12500], time: 3133.5472, Loss: -9645.6465
Epoch [10878/12500], time: 3134.0683, Loss: -9649.5244
Epoch [10880/12500], time: 3134.5879, Loss: -9653.5674
Epoch [10882/12500], time: 3135.1095, Loss: -9657.5293
Epoch [10884/12500], time: 3135.6335, Loss: -9661.3340
Epoch [10886/12500], time: 3136.1557, Loss: -9665.1904
Epoch [10888/12500], time: 3136.6803, Loss: -9669.1357
Epoch [10890/12500], time: 3137.2071, Loss: -9672.7549
Epoch [10892/12500], time: 3137.7270, Loss: -9676.6328
Epoch [10894/12500], time: 3138.2466, Loss: -9680.3506
Epoch [10896/12500], time: 3138.7659, Loss: -9684.1865
Epoch [10898/12500], time: 3139.2847, Loss: -9687.6426
Epoch [10900/12500], time: 3139.8046, Loss: -9691.4463
Epoch [10902/12500], time: 3140.3243, Loss: -9694.9873
Epoch [10904/12500], time: 3140.8452, Loss: -9698.6406
Epoch [10906/12500], time: 3141.3697, Loss: -9702.1006
Epoch [10908/12500], time: 3141.9304, Loss: -9705.5859
Epoch [10910/12500], time: 3142.4585, Loss: -9708.9512
Epoch [10912/12500], time: 3142.9912, Loss: -9712.5869
Epoch [10914/12500], time: 3143.5322, Loss: -9715.8135
Epoch [10916/12500], time: 3144.0708, Loss: -9719.3379
Epoch [10918/12500], time: 3144.6074, Loss: -9722.6895
Epoch [10920/12500], time: 3145.1481, Loss: -9726.0586
Epoch [10922/12500], time: 3145.6877, Loss: -9729.3271
Epoch [10924/12500], time: 3146.2301, Loss: -9732.6504
Epoch [10926/12500], time: 3146.7674, Loss: -9735.8691
Epoch [10928/12500], time: 3147.2901, Loss: -9739.1680
Epoch [10930/12500], time: 3147.8188, Loss: -9742.2920
Epoch [10932/12500], time: 3148.3424, Loss: -9745.4951
Epoch [10934/12500], time: 3148.8686, Loss: -9748.4922
Epoch [10936/12500], time: 3149.3915, Loss: -9751.6357
Epoch [10938/12500], time: 3149.9127, Loss: -9754.7422
Epoch [10940/12500], time: 3150.4318, Loss: -9757.8086
Epoch [10942/12500], time: 3150.9515, Loss: -9760.9453
Epoch [10944/12500], time: 3151.4739, Loss: -9764.0205
Epoch [10946/12500], time: 3151.9961, Loss: -9766.8486
Epoch [10948/12500], time: 3152.5157, Loss: -9769.9043
Epoch [10950/12500], time: 3153.0381, Loss: -9772.6729
Epoch [10952/12500], time: 3153.5590, Loss: -9775.6104
Epoch [10954/12500], time: 3154.0820, Loss: -9778.4775
Epoch [10956/12500], time: 3154.6032, Loss: -9781.3662
Epoch [10958/12500], time: 3155.1238, Loss: -9784.1211
Epoch [10960/12500], time: 3155.6454, Loss: -9786.8193
Epoch [10962/12500], time: 3156.1711, Loss: -9789.7549
Epoch [10964/12500], time: 3156.6922, Loss: -9792.6113
Epoch [10966/12500], time: 3157.2172, Loss: -9795.3330
Epoch [10968/12500], time: 3157.7365, Loss: -9798.0254
Epoch [10970/12500], time: 3158.2559, Loss: -9800.6875
Epoch [10972/12500], time: 3158.7832, Loss: -9803.4736
Epoch [10974/12500], time: 3159.3037, Loss: -9806.0420
Epoch [10976/12500], time: 3159.8259, Loss: -9808.6807
Epoch [10978/12500], time: 3160.3483, Loss: -9811.1221
Epoch [10980/12500], time: 3160.8697, Loss: -9813.7129
Epoch [10982/12500], time: 3161.3896, Loss: -9816.4795
Epoch [10984/12500], time: 3161.9095, Loss: -9818.9512
Epoch [10986/12500], time: 3162.4335, Loss: -9821.5068
Epoch [10988/12500], time: 3162.9522, Loss: -9823.8408
Epoch [10990/12500], time: 3163.4711, Loss: -9826.4316
Epoch [10992/12500], time: 3163.9904, Loss: -9828.9541
Epoch [10994/12500], time: 3164.5098, Loss: -9831.0957
Epoch [10996/12500], time: 3165.0307, Loss: -9833.7217
Epoch [10998/12500], time: 3165.5517, Loss: -9836.0947
Epoch [11000/12500], time: 3166.0785, Loss: -9838.4365
AP::0.6305, AUC:0.8768
Epoch [11002/12500], time: 3175.8013, Loss: -6279.5601
Epoch [11004/12500], time: 3176.3697, Loss: -6305.4434
Epoch [11006/12500], time: 3177.0760, Loss: -6331.2275
Epoch [11008/12500], time: 3177.5973, Loss: -6357.0020
Epoch [11010/12500], time: 3178.1195, Loss: -6382.7217
